Location,Resort,Pass,Limited or unlimited,Total Lifts,Summit height,Vertical Drop,Base Elevation,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Projected Opening,Projected Closing,Projected Days Open,Days Open Last Year,Years Open,Average Snowfall,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing
utah,Snowbasin,Epic,limited,12,9350',2900',6450',41.8 mi,3.5 mi,3000 ac,24.9 mi,December 10  20212021/12/10,April 10  20222022/04/10,135,143,82,"300""",7%,37%,47%,9%,
washington,Stevens Pass,Epic,unlimited,12,5845',1800',4061',53,1 mi,1125 ac,,December 15  20212021/12/15,May 01  20222022/05/01,123,116,85,"460""",8%,45%,28%,19%,450 ac
quebec,Stoneham Mountain,Epic,unlimited,6,1946',1132',814',43,2 mi,333 ac,293 ac,December 03  20212021/12/03,April 03  20222022/04/03,130,N.A.,59,"208""",19%,26%,39%,16%,156 ac
vermont,Stowe,Epic,unlimited,12,4395',2360',2035',116,3.7 mi,485 ac,388 ac,November 26  20212021/11/26,April 18  20222022/04/18,150,155,89,"314""",16%,55%,15%,15%,
idaho,Sun Valley,Epic,limited,18,9150',3400',5750',120,3 mi,2054 ac,645 ac,November 25  20212021/11/25,April 17  20222022/04/17,136,149,86,"220""",,,,,
valais,Thyon 2000,Epic,limited,82,2700m,1400m,1300m,338 km,,412 km,,November 27  20212021/11/27,April 24  20222022/04/24,N.A.,N.A.,N.A.,0cm,,36%,56%,9%,
colorado,Vail,Epic,unlimited,31,11570',3450',8120',267,4 mi,5289 ac,461 ac,November 12  20212021/11/12,May 01  20222022/05/01,156,158,60,"354""",22%,34%,41%,2%,
northern-alps,Val Thorens,Epic,limited,31,3230m,930m,1825m,150 km,3.5 km,150 km,120 km,November 20  20212021/11/20,May 08  20222022/05/08,168,164,51,686cm,13%,44%,34%,9%,
valais,Verbier,Epic,limited,82,3330m,1830m,1500m,412 km,,412 km,157 km,November 12  20212021/11/12,May 01  20222022/05/01,N.A.,N.A.,N.A.,841cm,,31%,48%,21%,
valais,Veysonnaz - Printze,Epic,limited,82,2700m,1230m,1470m,338 km,,412 km,,December 04  20212021/12/04,April 24  20222022/04/24,N.A.,N.A.,N.A.,0cm,,41%,54%,5%,
